Scale,user_id,sex,age,median_age,sum_score,sum_score_t2,days_to_followup,nfc1,nfc2,nfc3,nfc4,nfc5,nfc6,nfc7,nfc8,nfc9,nfc10,nfc11,nfc12,nfc13,nfc14,nfc15,nfc16,nfc17,nfc18
Need for Cognition,98812,f,58,high,93,82,0.949,5,6,6,5,6,5,5,5,3,6,6,5,6,5,5,5,5,4
Need for Cognition,98841,m,35,high,89,85,0.006,5,6,5,5,6,4,5,5,4,5,6,5,5,5,5,5,5,3
Need for Cognition,100182,m,19,low,75,85,0.042,2,4,5,4,4,5,3,3,4,5,6,6,5,5,3,2,4,5
Need for Cognition,100478,f,19,low,74,83,0.008,2,3,3,3,4,4,6,5,3,6,6,6,6,3,4,3,5,2
Need for Cognition,100667,f,48,high,87,91,45.754,5,5,4,6,5,3,6,4,5,5,6,5,4,6,5,5,4,4
Need for Cognition,101301,m,19,low,83,85,0.008,5,4,6,6,5,3,2,1,6,5,5,5,5,6,4,5,6,4
Need for Cognition,101474,f,23,low,87,80,61.178,4,5,5,6,6,4,5,5,4,6,4,5,2,5,6,5,4,6
Need for Cognition,102044,f,26,low,88,99,417.812,4,5,6,5,5,4,6,5,3,5,5,6,4,5,5,5,5,5
Need for Cognition,102419,f,24,low,86,97,1.275,4,5,6,6,6,4,6,5,3,5,5,6,2,6,5,6,5,1
Need for Cognition,102657,m,28,low,93,94,299.589,5,5,5,6,5,6,5,4,5,5,5,6,4,5,6,5,5,6
Need for Cognition,102801,f,24,low,105,105,0.008,6,6,6,6,6,6,6,6,6,6,6,6,4,5,6,6,6,6
Need for Cognition,102985,f,37,high,66,84,25.98,4,3,6,3,6,1,3,6,1,6,5,6,3,3,1,6,2,1
Need for Cognition,103140,f,36,high,61,61,0.006,3,3,4,3,3,4,4,3,4,4,3,3,3,4,4,3,3,3
Need for Cognition,103144,f,18,low,69,63,1.006,3,3,4,5,5,2,5,6,3,4,4,4,3,2,4,3,4,5
Need for Cognition,103175,f,27,low,66,70,8.082,3,3,3,3,3,4,5,1,3,5,5,3,2,4,5,3,5,6
Need for Cognition,103527,f,61,high,82,82,0.362,4,6,6,5,4,2,3,4,6,1,6,6,5,6,4,5,4,5
Need for Cognition,103761,m,42,high,69,76,1.988,4,4,4,2,5,3,2,2,3,5,3,5,3,5,5,5,4,5
Need for Cognition,103929,f,24,low,87,98,0.108,4,4,6,6,6,4,6,4,6,4,5,6,4,4,6,4,4,4
Need for Cognition,104000,f,20,low,77,71,3.231,3,4,5,5,6,3,5,4,3,4,4,5,3,5,4,4,4,6
Need for Cognition,104005,m,28,low,87,84,6.023,4,5,5,5,5,4,4,6,5,6,5,6,5,6,5,5,3,3
Need for Cognition,104578,f,48,high,94,93,58.166,5,5,6,6,5,5,5,2,5,5,6,6,5,6,6,5,6,5
Need for Cognition,104705,m,34,high,85,90,0.014,5,5,5,6,6,3,5,2,5,5,6,6,5,5,6,6,3,1
Need for Cognition,104892,m,49,high,88,88,0.02,5,5,5,5,5,3,5,4,4,6,6,5,5,5,6,4,5,5
Need for Cognition,105499,m,47,high,99,100,0.024,6,6,6,6,6,4,6,5,5,5,6,5,5,6,6,6,5,5
Need for Cognition,105537,f,25,low,77,70,0.02,1,4,4,6,5,5,6,3,4,4,5,4,5,3,2,4,6,6
Need for Cognition,106481,f,24,low,87,86,29.019,5,5,5,5,6,4,4,3,3,6,5,5,5,5,5,6,5,5
Need for Cognition,106824,f,20,low,72,73,0.019,3,6,4,3,3,3,1,4,1,5,6,6,4,6,6,2,5,4
Need for Cognition,107184,f,25,low,87,75,0.247,6,6,6,6,6,2,5,4,3,6,4,6,3,6,6,1,5,6
Need for Cognition,107355,f,61,high,81,77,3.107,4,5,6,6,6,4,5,3,2,5,5,6,2,4,5,5,6,2
Need for Cognition,108796,m,25,low,97,100,0.021,6,6,4,6,6,4,6,4,6,6,6,6,6,5,6,4,5,5
Need for Cognition,109230,m,46,high,75,70,105.065,2,5,6,5,5,3,6,2,3,5,5,6,3,4,2,5,4,4
Need for Cognition,109401,f,22,low,92,99,1.028,4,5,6,5,4,4,5,5,5,4,6,6,5,6,5,6,6,5
Need for Cognition,110070,m,25,low,76,76,5.427,4,4,5,5,5,2,3,5,3,5,6,6,3,6,3,4,5,2
Need for Cognition,110366,m,27,low,82,76,0.76,3,4,6,4,6,6,4,5,4,5,6,6,3,6,6,1,5,2
Need for Cognition,111053,f,35,high,94,80,158.231,6,5,6,6,5,5,5,1,5,6,5,6,6,6,5,5,5,6
