Scale,user_id,sex,age,median_age,sum_score,sum_score_t2,days_to_followup,nfc1,nfc2,nfc3,nfc4,nfc5,nfc6,nfc7,nfc8,nfc9,nfc10,nfc11,nfc12,nfc13,nfc14,nfc15,nfc16,nfc17,nfc18
Need for Cognition,180948,f,55,high,83,84,33.974,5,5,5,5,5,6,5,3,4,4,5,5,4,5,3,3,5,6
Need for Cognition,181705,m,52,high,108,107,0.419,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Need for Cognition,181917,f,22,low,97,97,0.01,4,6,6,6,6,5,6,3,3,6,6,6,6,6,6,5,5,6
Need for Cognition,183080,m,38,high,79,80,0.104,5,6,4,4,4,4,4,4,4,5,5,5,5,6,2,2,5,5
Need for Cognition,183161,f,28,low,92,95,0.873,5,5,5,5,5,5,3,5,5,6,5,6,5,5,6,5,5,6
Need for Cognition,183447,f,19,low,76,66,0.024,2,5,5,4,5,4,3,6,3,4,4,5,4,5,3,5,5,4
Need for Cognition,183477,m,19,low,79,76,1.363,4,6,5,4,6,5,4,4,4,5,4,6,3,5,5,3,2,4
Need for Cognition,184511,f,26,low,82,88,0.008,2,5,5,5,6,3,4,4,4,3,5,6,4,5,6,5,4,6
Need for Cognition,185691,f,24,low,73,82,8.897,4,4,5,5,4,3,2,5,4,6,4,6,3,4,4,4,2,4
Need for Cognition,186143,m,37,high,80,80,0.315,5,5,5,5,5,5,5,4,3,6,6,5,3,4,4,6,2,2
Need for Cognition,186789,m,63,high,84,94,29.965,4,5,5,5,5,5,5,4,5,6,4,6,3,6,5,5,3,3
Need for Cognition,186902,f,56,high,85,92,9.176,4,5,5,6,6,5,6,4,3,6,5,5,4,6,4,3,4,4
Need for Cognition,187031,f,34,high,89,89,0.018,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
Need for Cognition,187431,f,21,low,62,63,9.672,2,3,4,3,3,4,4,3,3,4,4,4,3,4,3,4,4,3
Need for Cognition,187612,f,19,low,84,83,0.344,4,5,5,5,3,4,6,4,3,6,5,5,3,5,6,4,5,6
Need for Cognition,188342,m,34,high,78,78,194.896,3,5,4,4,6,5,3,6,3,5,5,4,4,4,5,4,4,4
Need for Cognition,188383,f,48,high,90,93,23.983,5,6,6,5,6,3,6,2,5,6,6,6,5,6,5,5,6,1
Need for Cognition,188500,f,31,high,42,45,0.007,2,1,1,2,2,2,2,1,2,5,3,6,1,2,2,1,2,5
Need for Cognition,188627,m,47,high,90,86,99.641,5,6,4,5,5,5,5,5,6,5,5,5,5,6,5,2,6,5
Need for Cognition,189120,f,45,high,83,85,0.017,4,1,6,4,6,4,6,5,1,6,6,6,5,6,6,2,3,6
